image_id,question_id,true_answer,model_answer,question,field,image_number
V2_13,4,Uống ngon hơn khi ướp lạnh,Dùng để uống,Sản phẩm trong ảnh được sử dụng như thế nào?,Công dụng/Hướng dẫn sử dụng,13
V2_14,1,Vĩnh Hảo,Nước khoáng Vĩnh Hảo.,Tên sản phẩm trong ảnh là gì?,Tên sản phẩm,14
V2_14,2,Nước khoáng,Nước khoáng.,Sản phẩm này thuộc loại nào?,Loại sản phẩm,14
V2_14,3,Nhãn xanh dương - chai trong suốt,Không màu.,Sản phẩm này có màu như thế nào?,Màu sắc,14
V2_14,4,Uống,Cung cấp nước và khoáng chất cho cơ thể.,Bạn có thể cho biết công dụng của sản phẩm không?,Công dụng/Hướng dẫn sử dụng,14
V2_15,1,JOMI,Jomi 抗菌めんぼう,Sản phẩm này được gọi là gì?,Tên sản phẩm,15
V2_15,2,Tăm bông,Bông ngoáy tai,Phân loại của sản phẩm này là gì?,Loại sản phẩm,15
V2_15,3,"Trắng, xanh da trời","Trắng, xanh dương",Bạn có thể mô tả màu sắc của sản phẩm không?,Màu sắc,15
V2_15,4,"Dùng để vệ sinh tai, mũi, bôi thuốc hoặc vệ sinh khác",Không xác định,Sản phẩm trong ảnh được sử dụng như thế nào?,Công dụng/Hướng dẫn sử dụng,15
V2_16,1,JOMI,Tăm bông kháng khuẩn JOMI,Tên sản phẩm trong ảnh là gì?,Tên sản phẩm,16
V2_16,3,"Trắng, xanh da trời",Trắng,Bạn có thể mô tả màu sắc của sản phẩm không?,Màu sắc,16
V2_16,4,"Dùng để vệ sinh tai, mũi, bôi thuốc hoặc vệ sinh khác","Vệ sinh tai, mũi, bôi thuốc",Bạn có thể cho biết công dụng của sản phẩm không?,Công dụng/Hướng dẫn sử dụng,16
V2_16,5,5 năm tính từ ngày sản xuất,5 năm kể từ ngày sản xuất in trên đáy hộp,Hãy cho tôi biết hạn dùng của sản phẩm này?,Hạn sử dụng,16
V2_17,1,Nước uống đóng chai Danisa,Dasani,Sản phẩm này có tên là gì?,Tên sản phẩm,17
V2_17,2,Nước giải khát,Nước uống đóng chai,Sản phẩm này thuộc loại gì?,Loại sản phẩm,17
V2_17,3,"Trắng, xanh lá","Trong suốt, nắp xanh lá cây",Màu của sản phẩm là màu gì?,Màu sắc,17
V2_17,4,Nước uống,Để uống,Sản phẩm trong ảnh được sử dụng như thế nào?,Công dụng/Hướng dẫn sử dụng,17
V2_18,1,Nước uống đóng chai Danisa,Nước Uống Đóng Chai,Có thể cho biết tên của sản phẩm này không?,Tên sản phẩm,18
V2_18,2,Nước giải khát,Nước uống đóng chai,Phân loại của sản phẩm này là gì?,Loại sản phẩm,18
V2_18,3,"Trắng, xanh lá","Trong suốt, nắp xanh lá cây",Sản phẩm này có đặc điểm gì về màu sắc?,Màu sắc,18
V2_18,4,Nước uống,Để uống,Sản phẩm trong ảnh được sử dụng như thế nào?,Công dụng/Hướng dẫn sử dụng,18
V2_19,1,ACNOTIN,Acnotin 10,Sản phẩm này có tên là gì?,Tên sản phẩm,19
V2_19,2,Thuốc điều trị mụn trứng cá nặng,Thuốc kê đơn,Phân loại của sản phẩm này là gì?,Loại sản phẩm,19
V2_19,3,"Trắng, đỏ",Trắng và đỏ,Sản phẩm trong ảnh có màu gì?,Màu sắc,19
V2_19,4,Thuốc uống,Không xác định,Cách sử dụng sản phẩm này như thế nào?,Công dụng/Hướng dẫn sử dụng,19
V2_20,1,ACNOTIN,ACNOTIN 10,Hãy cho tôi biết tên sản phẩm trong ảnh?,Tên sản phẩm,20
V2_20,2,Thuốc điều trị mụn trứng cá nặng,Softgel capsule,Sản phẩm này thuộc loại nào?,Loại sản phẩm,20
V2_20,3,"Trắng, đỏ",Không xác định,Sản phẩm này có màu như thế nào?,Màu sắc,20
V2_20,4,Thuốc uống,As directed by Physician (See enclosed leaflet),Cách sử dụng sản phẩm này như thế nào?,Công dụng/Hướng dẫn sử dụng,20
V2_21,1,ACNOTIN,Không xác định,Sản phẩm này có tên là gì?,Tên sản phẩm,21
V2_21,2,Thuốc điều trị mụn trứng cá nặng,Không xác định,Đây là loại sản phẩm gì?,Loại sản phẩm,21
V2_21,4,Thuốc uống,Không xác định,Sản phẩm trong ảnh được sử dụng như thế nào?,Công dụng/Hướng dẫn sử dụng,21
V2_21,5,23 tháng tính từ ngày sản xuất,06/10/2026,Sản phẩm này có hạn sử dụng đến khi nào?,Hạn sử dụng,21
V2_22,1,COLGATE,Kem đánh răng Colgate kèm bàn chải đánh răng.,Đây là sản phẩm gì?,Tên sản phẩm,22
V2_22,2,Kem đánh răng,Chăm sóc răng miệng.,Hãy cho tôi biết phân loại của sản phẩm này?,Loại sản phẩm,22
V2_22,3,"Trắng, đỏ, xanh lá","Đỏ, xanh lá cây, xanh dương, trắng.",Hãy cho tôi biết màu sắc của sản phẩm này?,Màu sắc,22
V2_22,4,"Giảm vi khuẩn gia tăng suốt 12 giờ. Giúp ngăn ngừa sâu răng, sự hình thành vôi răng, mảng bám và các vấn đề về nướu",Để làm sạch răng.,Hãy cho tôi biết cách sử dụng sản phẩm này?,Công dụng/Hướng dẫn sử dụng,22
V2_23,1,COLGATE,Colgate Cavity Protection Strong Teeth Icy Cool Mint,Hãy cho tôi biết tên sản phẩm trong ảnh?,Tên sản phẩm,23
V2_23,3,"Trắng, đỏ, xanh lá","Đỏ, trắng",Màu sắc của sản phẩm trong ảnh như thế nào?,Màu sắc,23
V2_23,4,"Giảm vi khuẩn gia tăng suốt 12 giờ. Giúp ngăn ngừa sâu răng, sự hình thành vôi răng, mảng bám và các vấn đề về nướu",Chải răng,Sản phẩm trong ảnh được sử dụng như thế nào?,Công dụng/Hướng dẫn sử dụng,23
V2_23,5,Không xác định,"Xem EXP (Tháng Năm), MFG in trên nắp hộp",Hạn sử dụng của sản phẩm là gì?,Hạn sử dụng,23
V2_24,1,COLGATE,Colgate,Tên của sản phẩm này là gì?,Tên sản phẩm,24
V2_24,3,"Trắng, đỏ, xanh lá","Đỏ, trắng",Hãy cho tôi biết màu sắc của sản phẩm này?,Màu sắc,24
V2_24,4,"Giảm vi khuẩn gia tăng suốt 12 giờ. Giúp ngăn ngừa sâu răng, sự hình thành vôi răng, mảng bám và các vấn đề về nướu",Cho răng chắc khỏe,Sản phẩm này có công dụng gì?,Công dụng/Hướng dẫn sử dụng,24
V2_25,1,COLGATE,Kem đánh răng Colgate Cavity Protection Strong Teeth Icy Cool Mint.,Sản phẩm này được gọi là gì?,Tên sản phẩm,25
V2_25,2,Kem đánh răng,Chăm sóc răng miệng.,Sản phẩm trong ảnh thuộc nhóm nào?,Loại sản phẩm,25
V2_25,3,"Trắng, đỏ, xanh lá","Đỏ, xanh lá cây, trắng, xanh dương.",Sản phẩm trong ảnh có màu gì?,Màu sắc,25
V2_25,4,"Giảm vi khuẩn gia tăng suốt 12 giờ. Giúp ngăn ngừa sâu răng, sự hình thành vôi răng, mảng bám và các vấn đề về nướu","Bảo vệ răng khỏi sâu răng, giúp răng chắc khỏe.",Sản phẩm này có công dụng gì?,Công dụng/Hướng dẫn sử dụng,25
V2_26,1,COLGATE,Colgate,Hãy cho tôi biết tên sản phẩm trong ảnh?,Tên sản phẩm,26
V2_26,3,"Trắng, đỏ, xanh lá","Đỏ, xanh lá cây, trắng",Màu sắc của sản phẩm trong ảnh như thế nào?,Màu sắc,26
V2_26,4,"Giảm vi khuẩn gia tăng suốt 12 giờ. Giúp ngăn ngừa sâu răng, sự hình thành vôi răng, mảng bám và các vấn đề về nướu",Để làm sạch răng,Sản phẩm này dùng để làm gì?,Công dụng/Hướng dẫn sử dụng,26
V2_27,1,CLENZIDERM,CLENZIderm M.D.™ Pore Therapy,Có thể cho biết tên của sản phẩm này không?,Tên sản phẩm,27
V2_27,2,Lotion trị mụn,Acne treatment,Có thể cho biết loại của sản phẩm này được không?,Loại sản phẩm,27
V2_27,3,Trắng,White,Bạn có thể mô tả màu sắc của sản phẩm không?,Màu sắc,27
V2_27,4,"dung dịch đặc trị giúp sạch sâu lỗ chân lông, làm sạch da, có tác dụng loại sạch nhẹ nhàng bụi bẩn, tế bào chết, dầu thừa còn tồn động trong lỗ chân lông vừa hỗ trợ điều trị và ngăn ngừa mụn hình thành, nước hoa hồng",Điều trị mụn trứng cá,Sản phẩm này có công dụng gì?,Công dụng/Hướng dẫn sử dụng,27
V2_28,1,CLENZIDERM,Clenziderm M.D.,Tên của sản phẩm này là gì?,Tên sản phẩm,28
V2_28,2,Lotion trị mụn,Acne Treatment,Đây là loại sản phẩm gì?,Loại sản phẩm,28
V2_28,4,"dung dịch đặc trị giúp sạch sâu lỗ chân lông, làm sạch da, có tác dụng loại sạch nhẹ nhàng bụi bẩn, tế bào chết, dầu thừa còn tồn động trong lỗ chân lông vừa hỗ trợ điều trị và ngăn ngừa mụn hình thành, nước hoa hồng",Trị mụn,Bạn có thể cho biết công dụng của sản phẩm không?,Công dụng/Hướng dẫn sử dụng,28
V2_29,1,CLENZIDERM,CLENZIderm M.D. Pore Therapy,Đây là sản phẩm gì?,Tên sản phẩm,29
V2_29,2,Lotion trị mụn,Sản phẩm trị mụn,Sản phẩm này thuộc loại nào?,Loại sản phẩm,29
V2_29,4,"dung dịch đặc trị giúp sạch sâu lỗ chân lông, làm sạch da, có tác dụng loại sạch nhẹ nhàng bụi bẩn, tế bào chết, dầu thừa còn tồn động trong lỗ chân lông vừa hỗ trợ điều trị và ngăn ngừa mụn hình thành, nước hoa hồng","Rửa mặt, lắc đều sản phẩm, thoa một lớp mỏng lên vùng da bị mụn mỗi ngày một lần, sau đó tăng lên hai hoặc ba lần mỗi ngày.",Hướng dẫn sử dụng sản phẩm này như thế nào?,Công dụng/Hướng dẫn sử dụng,29
V2_30,1,CLENZIDERM,Clenziderm MD,Có thể cho biết tên của sản phẩm này không?,Tên sản phẩm,30
V2_30,2,Lotion trị mụn,Sản phẩm chăm sóc da,Sản phẩm trong ảnh thuộc nhóm nào?,Loại sản phẩm,30
V2_30,4,"dung dịch đặc trị giúp sạch sâu lỗ chân lông, làm sạch da, có tác dụng loại sạch nhẹ nhàng bụi bẩn, tế bào chết, dầu thừa còn tồn động trong lỗ chân lông vừa hỗ trợ điều trị và ngăn ngừa mụn hình thành, nước hoa hồng",Không xác định,Hãy cho tôi biết cách sử dụng sản phẩm này?,Công dụng/Hướng dẫn sử dụng,30
V2_31,1,Tường An Cooking Oil,Cooking Oil,Tên sản phẩm trong ảnh là gì?,Tên sản phẩm,31
V2_31,2,Dầu thực vật,Dầu ăn,Phân loại của sản phẩm này là gì?,Loại sản phẩm,31
V2_31,3,"Vàng, Trắng",Vàng,Hãy cho tôi biết màu sắc của sản phẩm này?,Màu sắc,31
V2_31,4,"chuyên dùng cho việc chiên và xào, cũng thường được sử dụng cho các mục đích khác như trộn salad, làm nước sốt, và có thể được dùng để chế biến các món chay",Để nấu ăn,Sản phẩm trong ảnh được sử dụng như thế nào?,Công dụng/Hướng dẫn sử dụng,31
V2_32,2,Dầu thực vật,Dầu ăn,Phân loại của sản phẩm này là gì?,Loại sản phẩm,32
V2_32,3,"Vàng, Trắng",Vàng,Sản phẩm này màu gì?,Màu sắc,32
V2_32,4,"chuyên dùng cho việc chiên và xào, cũng thường được sử dụng cho các mục đích khác như trộn salad, làm nước sốt, và có thể được dùng để chế biến các món chay",Không xác định,Hãy cho tôi biết cách sử dụng sản phẩm này?,Công dụng/Hướng dẫn sử dụng,32
V2_33,2,Dầu thực vật,Dầu ăn,Đây là loại sản phẩm gì?,Loại sản phẩm,33
V2_33,3,"Vàng, Trắng",Vàng,Sản phẩm trong ảnh có màu gì?,Màu sắc,33
V2_33,4,"chuyên dùng cho việc chiên và xào, cũng thường được sử dụng cho các mục đích khác như trộn salad, làm nước sốt, và có thể được dùng để chế biến các món chay",Nấu ăn,Sản phẩm này dùng để làm gì?,Công dụng/Hướng dẫn sử dụng,33
V2_34,2,Dầu thực vật,Gia vị,Sản phẩm này thuộc loại nào?,Loại sản phẩm,34
V2_34,3,"Vàng, Đen",Vàng,Sản phẩm này có màu như thế nào?,Màu sắc,34
V2_34,4,"Dùng để chấm trực tiếp với các món ăn như đậu hũ, rau luộc, thịt luộc, ... Dùng để tẩm ướp các món kho, xào, nướng, ... Dùng để pha chế các loại nước chấm.",Để nêm gia vị,Sản phẩm trong ảnh được sử dụng như thế nào?,Công dụng/Hướng dẫn sử dụng,34
V2_35,1,Nước tương đậu nành Maggi,Nước tương Maggi,Có thể cho biết tên của sản phẩm này không?,Tên sản phẩm,35
V2_35,2,Dầu thực vật,Nước tương,Đây là loại sản phẩm gì?,Loại sản phẩm,35
V2_35,3,"Vàng, Đen",Vàng,Hãy cho tôi biết màu sắc của sản phẩm này?,Màu sắc,35
V2_35,4,"Dùng để chấm trực tiếp với các món ăn như đậu hũ, rau luộc, thịt luộc, ... Dùng để tẩm ướp các món kho, xào, nướng, ... Dùng để pha chế các loại nước chấm.","Dùng trực tiếp, chấm, trộn, chế biến món ăn",Hướng dẫn sử dụng sản phẩm này như thế nào?,Công dụng/Hướng dẫn sử dụng,35
V2_35,5,18 tháng tính từ ngày sản xuất,18 tháng trước hạn sử dụng,Tôi có thể sử dụng sản phẩm này trong bao lâu?,Hạn sử dụng,35
V2_36,1,Nước tương đậu nành Maggi,MAGGI Thanh Dịu Từ Đậu Nành Lên Men Tự Nhiên,Có thể cho biết tên của sản phẩm này không?,Tên sản phẩm,36
V2_36,2,Dầu thực vật,Nước tương/Gia vị,Sản phẩm này thuộc loại nào?,Loại sản phẩm,36
V2_36,3,"Vàng, Đen","Vàng, nâu",Màu của sản phẩm là màu gì?,Màu sắc,36
V2_36,4,"Dùng để chấm trực tiếp với các món ăn như đậu hũ, rau luộc, thịt luộc, ... Dùng để tẩm ướp các món kho, xào, nướng, ... Dùng để pha chế các loại nước chấm.",Gia vị nấu ăn,Bạn có thể cho biết công dụng của sản phẩm không?,Công dụng/Hướng dẫn sử dụng,36
V2_36,5,Không xác định,HSD: 05/05/2026,Hạn sử dụng của sản phẩm trong ảnh là gì?,Hạn sử dụng,36
V2_37,2,"Nước giải khát, Nước lọc đóng chai",Nước uống đóng chai,Sản phẩm này thuộc loại gì?,Loại sản phẩm,37
V2_37,3,Xanh da trời,Trong suốt,Sản phẩm trong ảnh có màu gì?,Màu sắc,37
V2_37,4,"Cung cấp nước uống tinh khiết, giải khát và bù nước. Hỗ trợ quá trình trao đổi chất",Giải khát,Sản phẩm này có công dụng gì?,Công dụng/Hướng dẫn sử dụng,37
V2_38,1,Xí muội Thái,Xí Muội Thái,Tên của sản phẩm này là gì?,Tên sản phẩm,38
V2_38,2,Thực phẩm,Đồ ăn vặt,Sản phẩm này được phân loại như thế nào?,Loại sản phẩm,38
V2_38,3,"Trắng, Nâu",Nâu,Sản phẩm này màu gì?,Màu sắc,38
V2_38,4,"Kích thích vị giác, hỗ trợ tiêu hoá, bổ sung vitamin và khoáng chất",Không xác định,Hãy cho tôi biết cách sử dụng sản phẩm này?,Công dụng/Hướng dẫn sử dụng,38
V2_38,5,30 đến 60 ngày,"30 ngày ở nhiệt độ thường, 60 ngày trong tủ mát",Sản phẩm này có hạn sử dụng đến khi nào?,Hạn sử dụng,38
V2_39,1,Xí muội Thái,Xí Muội Thái,Tên của sản phẩm này là gì?,Tên sản phẩm,39
V2_39,2,Thực phẩm,Thực phẩm (Xí muội),Phân loại của sản phẩm này là gì?,Loại sản phẩm,39
V2_39,3,"Trắng, Nâu",Nâu,Bạn có thể mô tả màu sắc của sản phẩm không?,Màu sắc,39
V2_39,4,"Kích thích vị giác, hỗ trợ tiêu hoá, bổ sung vitamin và khoáng chất",Nhai và nuốt,Hướng dẫn sử dụng sản phẩm này như thế nào?,Công dụng/Hướng dẫn sử dụng,39
V2_39,5,Không xác định,"30 ngày (tủ thường), 60 ngày (tủ mát)",Tôi có thể sử dụng sản phẩm này trong bao lâu?,Hạn sử dụng,39
V2_40,1,Xí muội Thái,Xí Muội Thái,Có thể cho biết tên của sản phẩm này không?,Tên sản phẩm,40
V2_40,2,Thực phẩm,Xí muội,Sản phẩm này thuộc loại nào?,Loại sản phẩm,40
V2_40,3,"Trắng, Nâu",Nâu,Sản phẩm này màu gì?,Màu sắc,40
V2_40,4,"Kích thích vị giác, hỗ trợ tiêu hoá, bổ sung vitamin và khoáng chất",Ăn vặt,Sản phẩm này dùng để làm gì?,Công dụng/Hướng dẫn sử dụng,40
V2_40,5,Không xác định,30 ngày - tủ mát 60 ngày,Hạn sử dụng của sản phẩm trong ảnh là gì?,Hạn sử dụng,40
V2_41,1,Destination B1,Destination B1 Grammar & Vocabulary with Answer Key,Tên của sản phẩm này là gì?,Tên sản phẩm,41
V2_41,2,"Sách, Từ điển",Sách tiếng Anh,Sản phẩm trong ảnh thuộc nhóm nào?,Loại sản phẩm,41
V2_41,3,Đen,"Đen, trắng, xanh lá cây",Sản phẩm trong ảnh có màu gì?,Màu sắc,41
V2_41,4,"Giải thích từ ngữ, thông tin về từ loại, cách phát âm, từ đồng nghĩa, trái nghãi",Học ngữ pháp và từ vựng tiếng Anh,Sản phẩm này dùng để làm gì?,Công dụng/Hướng dẫn sử dụng,41
V2_42,1,Destination B1,Sách giáo trình,Đây là sản phẩm gì?,Tên sản phẩm,42
V2_42,2,"Sách, Từ điển",Sách học tiếng Anh,Sản phẩm trong ảnh thuộc nhóm nào?,Loại sản phẩm,42
V2_42,3,Đen,Xám và xanh lá cây,Bạn có thể mô tả màu sắc của sản phẩm không?,Màu sắc,42
V2_42,4,"Giải thích từ ngữ, thông tin về từ loại, cách phát âm, từ đồng nghĩa, trái nghãi",Học ngữ pháp và từ vựng tiếng Anh,Sản phẩm này có công dụng gì?,Công dụng/Hướng dẫn sử dụng,42
V2_43,1,Destination B1,Destination B1 Grammar and Vocabulary,Hãy cho tôi biết tên sản phẩm trong ảnh?,Tên sản phẩm,43
V2_43,2,"Sách, Từ điển",Sách học ngữ pháp và từ vựng,Sản phẩm này được phân loại như thế nào?,Loại sản phẩm,43
V2_43,3,Đen,"Đen, trắng, xanh lá cây",Hãy cho tôi biết màu sắc của sản phẩm này?,Màu sắc,43
V2_43,4,"Giải thích từ ngữ, thông tin về từ loại, cách phát âm, từ đồng nghĩa, trái nghãi",Học ngữ pháp và từ vựng,Hãy cho tôi biết cách sử dụng sản phẩm này?,Công dụng/Hướng dẫn sử dụng,43
V2_44,4,"Đánh răng, giúp răng trắng sáng, chắc khoẻ","Giúp răng trắng sáng an toàn, tự nhiên",Bạn có thể cho biết công dụng của sản phẩm không?,Công dụng/Hướng dẫn sử dụng,44
V2_45,4,"Đánh răng, giúp răng trắng sáng, chắc khoẻ","Trắng răng, ngừa viêm lợi, nhiệt miệng, chảy máu chân răng",Bạn có thể cho biết công dụng của sản phẩm không?,Công dụng/Hướng dẫn sử dụng,45
V2_45,5,36 tháng tính từ ngày sản xuất,091227,Hạn sử dụng của sản phẩm là gì?,Hạn sử dụng,45
V2_46,3,Trắng,"Trắng, xanh lá cây",Sản phẩm này có màu như thế nào?,Màu sắc,46
V2_46,4,"Đánh răng, giúp răng trắng sáng, chắc khoẻ",Chải răng mỗi sáng và tối. Sử dụng một lượng kem vừa đủ chải răng.,Hướng dẫn sử dụng sản phẩm này như thế nào?,Công dụng/Hướng dẫn sử dụng,46
V2_47,1,Kinder Omega-3 Syrups,Kinder Omega-3 Syrup,Sản phẩm này được gọi là gì?,Tên sản phẩm,47
V2_47,2,Thực phẩm bổ sung,Vitamin syrup,Sản phẩm này được phân loại như thế nào?,Loại sản phẩm,47
V2_47,3,"Trắng, đỏ, xanh dương","Syrup 2. Vitamin syrup 3. Màu trắng, xanh, cam, đỏ.",Màu của sản phẩm là màu gì?,Màu sắc,47
V2_47,4,Uống,Không xác định,Hướng dẫn sử dụng sản phẩm này như thế nào?,Công dụng/Hướng dẫn sử dụng,47
V2_48,1,Kinder Omega-3 Syrups,Doppelherz Aktiv Kinder Omega-3 Syrup,Hãy cho tôi biết tên sản phẩm trong ảnh?,Tên sản phẩm,48
V2_48,2,Thực phẩm bổ sung,Thực phẩm bảo vệ sức khỏe (Dietary supplement),Hãy cho tôi biết phân loại của sản phẩm này?,Loại sản phẩm,48
V2_48,3,"Trắng, đỏ, xanh dương",Syrup 2. Thực phẩm bảo vệ sức khỏe (Dietary supplement) 3. Không xác định,Bạn có thể mô tả màu sắc của sản phẩm không?,Màu sắc,48
V2_48,4,Uống,"Lắc kỹ trước khi dùng, liều lượng theo độ tuổi (Shake well before using, dosage according to age)",Cách sử dụng sản phẩm này như thế nào?,Công dụng/Hướng dẫn sử dụng,48
V2_48,5,Không xác định,Bảo quản trong ngăn mát tủ lạnh và sử dụng trong vòng 1 tháng sau khi mở nắp (Refrigerate and use within 1 month after opening),Tôi có thể sử dụng sản phẩm này trong bao lâu?,Hạn sử dụng,48
V2_49,1,Kinder Omega-3 Syrups,Kinder Omega-3 Syrup,Hãy cho tôi biết tên sản phẩm trong ảnh?,Tên sản phẩm,49
V2_49,2,Thực phẩm bổ sung,Food supplement,Sản phẩm này được phân loại như thế nào?,Loại sản phẩm,49
V2_49,3,"Trắng, đỏ, xanh dương",Syrup 2. Food supplement 3. Không xác định,Màu của sản phẩm là màu gì?,Màu sắc,49
V2_49,4,Uống,Không xác định,Sản phẩm này có công dụng gì?,Công dụng/Hướng dẫn sử dụng,49
V2_49,5,Không xác định,1 month sau khi mở nắp,Sản phẩm này có thời hạn sử dụng bao lâu?,Hạn sử dụng,49
V2_50,2,"Nước ngọt, Nước giải khát",Ổi Hồng Chanh Dây 2. Nước giải khát,Sản phẩm trong ảnh thuộc nhóm nào?,Loại sản phẩm,50
